שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
אידה לי רדי,איש,,,,,,,,,,,,,,,,,
אחלאם סויטאת,איש,,,,,,,,,,,,,,,,,
נתניה יצחק-ושלר,איש,,,,,,,,,,,,,,,,,
רינת מלמד,איש,,,,,,,,,,,,,,,,,
עדי בורטמן,איש,,,,,,,,,,,,,,,,,
נעמה מור,איש,,,,,,,,,,,,,,,,,
נעמה בלום לינצר,איש,,,,,,,,,,,,,,,,,
גיתית נחמני,איש,,,,,,,,,,,,,,,,,
רתם ישראל כהן,איש,,,,,,,,,,,,,,,,,
נעמי זורייבין,איש,,,,,,,,,,,,,,,,,
נעמי פיטרס,איש,,,,,,,,,,,,,,,,,
סיגל ריינדרס כפרי,איש,,,,,,,,,,,,,,,,,
נועה כספין,איש,,,,,,,,,,,,,,,,,
דינה לבנטר,איש,,,,,,,,,,,,,,,,,
יפעת עמיר,איש,,,,,,,,,,,,,,,,,
ליאת אנג'ל פאר,איש,,,,,,,,,,,,,,,,,
יפה אביב,איש,,,,,,,,,,,,,,,,,
דניאלה בקר,איש,,,,,,,,,,,,,,,,,
שלי מזרחי,איש,,,,,,,,,,,,,,,,,
נועם אהרונסון,איש,,,,,,,,,,,,,,,,,
יוליה לפיד,איש,,,,,,,,,,,,,,,,,
צופיה שמעוני,איש,,,,,,,,,,,,,,,,,
שלווה זניימר,איש,,,,,,,,,,,,,,,,,
ריקי ארמן,איש,,,,,,,,,,,,,,,,,
מיכל מגורה,איש,,,,,,,,,,,,,,,,,
יעל רגב בלולו,איש,,,,,,,,,,,,,,,,,
מיכל לוי,איש,,,,,,,,,,,,,,,,,
קרל המבורגר,איש,,,,,,,,,,,,,,,,,
דבורה שרבני,איש,,,,,,,,,,,,,,,,,
מאיה זידמן,איש,,,,,,,,,,,,,,,,,
עינת סבג,איש,,,,,,,,,,,,,,,,,
דבורה פרטוש,איש,,,,,,,,,,,,,,,,,
נעם מורן,איש,,,,,,,,,,,,,,,,,13343
אדרת נוסבאום,איש,,,,,,,,,,,,,,,,,13344
אוולין אישידה,איש,,,,,,,,,,,,,,,,,13345
,,,,,,,,,,,,,,,,,,13346
,,,,,,,,,,,,,,,,,,13347
,,,,,,,,,,,,,,,,,,13348
,,,,,,,,,,,,,,,,,,13349
,,,,,,,,,,,,,,,,,,13350
,,,,,,,,,,,,,,,,,,13351
,,,,,,,,,,,,,,,,,,13352
,,,,,,,,,,,,,,,,,,13353
,,,,,,,,,,,,,,,,,,13354
,,,,,,,,,,,,,,,,,,13355
,,,,,,,,,,,,,,,,,,13356
,,,,,,,,,,,,,,,,,,13357
,,,,,,,,,,,,,,,,,,13358
,,,,,,,,,,,,,,,,,,13359
,,,,,,,,,,,,,,,,,,13360
,,,,,,,,,,,,,,,,,,13361
,,,,,,,,,,,,,,,,,,13362
,,,,,,,,,,,,,,,,,,13363
,,,,,,,,,,,,,,,,,,13364
,,,,,,,,,,,,,,,,,,13365
,,,,,,,,,,,,,,,,,,13366
,,,,,,,,,,,,,,,,,,13367
,,,,,,,,,,,,,,,,,,13368
,,,,,,,,,,,,,,,,,,13369
,,,,,,,,,,,,,,,,,,13370
CIA,מדינה זרה - גוף ממשלתי,Central Intelligence Agency,CIA,,"ארה""ב",,,1947,,,,,,"סוכנות הריגול המודיעיני האזרחי של ארה""ב",https://he.wikipedia.org/wiki/CIA,,,13371
קרן פוזן,קרן,,,,,,,,,,,,,,,,,13372
תכנית העמיתים של קרן וקסנר לשירות הציבורי,מיזם,,,,,,,,,,,,,,,,,13373
"היא""ס",ארגון,Hebrew Immigrants Aid Society,HIAS,,,,,,,,,,," הוקם בשנת 1881 במטרה לסייע לפליטים יהודים שנמלטו מגל הפוגרומים שפרץ בברית המועצות לשעבר ובמוקדי רדיפה אחרים ברחבי העולם.
בתחילת שנות ה-2000 הרחיב היא""ס את פעילותו והחל לסייע גם לפליטים שאינם יהודים.",https://www.israelhayom.co.il/tags/hias,,,13374
המכללה למינהל,מוסד אקדמי,המסלול האקדמי המכללה למינהל,,,,,,,,,,,,,,,,13375
תכנית תקנה,מיזם,,,,,,,,,,,,,"תכנית ללימודי תואר שני במשפטים המתמקדת בזכויות אדם. פועלת במכללה למינהל תחת הקתדרא לזכויות אדם ע""ש אמיל זולא",http://zola.colman.ac.il/%D7%AA%D7%9B%D7%A0%D7%99%D7%AA-%D7%AA%D7%A7%D7%A0%D7%94/,,,13376
תכנית HIAS למתן סיוע משפטי למבקשי מקלט ולפליטים,מיזם,תכנית למתן סיוע משפטי למבקשי מקלט ולפליטים פרו בונו,,,ישראל,,,,,,,,,"היא""ס מפעיל תכנית למתן סיוע משפטי למבקשי מקלט, ללא תשלום, בסוגיות משפטיות הנובעות מהצורך בהסדרת מעמדם ובנושאים אזרחיים נוספים. בתכנית מתנדבים עורכי דין וסטודנטים למשפטים אשר עוברים הכשרה על ידי הארגון.",https://hias.org.il/legal-aid-refugees/,,,13377
Min Ajlina (FOR US),מיזם,Min Ajlina,Min Ajlina,,ישראל,,,2010,,,,,,תכנית להעצמת נשים בדואיות בנגב כמובילות חברתיות,https://web.archive.org/web/20110309031024/https://mepi.state.gov/mh_030202010a.html,,,13378
סולידריות,ארגון,סולידריות שייח' ג'ראח,,,,,,,,,,,,תנועה פוליטית-חברתית ישראלית המזוהה עם השמאל הרדיקלי הדוגלת בשינוי המשטר הקיים.,https://he.wikipedia.org/wiki/%D7%A1%D7%95%D7%9C%D7%99%D7%93%D7%A8%D7%99%D7%95%D7%AA_(%D7%AA%D7%A0%D7%95%D7%A2%D7%94_%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%D7%AA),,,13379
טובה בן ארי,איש,,,,,,,,,,,,,המפקחת על זכויות התלמיד במשרד החינוך,https://edu.gov.il/owlHeb/Yesodi/RegulationsAndAdministrations/pupils-rights/Pages/Student-Rights-Commissioner.aspx,,,13380
"ה""מכון להשתלמויות פרקליטים ויועצים משפטיים"" של משרד המשפטים",גוף ממשלתי,,,,ישראל,"
 

המכון להשתלמות פרקליטים ויועצים משפטיים עובד במסגרת משרד המשפטים וכחלק ארגוני שלו. המכון מהווה מסגרת להשתלמות של הפרקליטים והמשפטנים בשרות המדינה, אשר נועדה להכשרתם ולהעשרתם המקצועית והערכית, תוך כדי הידברות פנימית ובינמערכתית, בנושאים המשפטיים העומדים על סדר ביום בתחומי עיסוקם.",,1996,https://www.justice.gov.il/Units/HamrkazLhestlmoyotPraklitim/about/Pages/abaut.aspx,,,,,"המכון מהווה מסגרת להשתלמות של הפרקליטים והמשפטנים בשירות המדינה, אשר נועדה להכשרתם ולהעשרתם המקצועית והערכית ",https://www.justice.gov.il/Units/HamrkazLhestlmoyotPraklitim/about/Pages/abaut.aspx,,,13381
אני מורה פוליטי/ת,מיזם,,,,,,,2011,,,,,,"תכנית של תנועת סולידריות ש""הוקדשה למשמעויות הפוליטיות של מעשה ההוראה בישראל""",https://rotter.net/forum/gil/23227.shtml,,,13382
יוסף אש,איש,,,,ישראל,,,,,,,,,,,,,13383
המרכז להגירה בינלאומית וקליטה,ארגון,"עמותת המרכז הישראלי להגירה בינלאומית ולקליטה (ע""ר)",The Center for International Migration and Integration - CIMI,580318038,ישראל,,,1998,,,,,,"סיוע בפיתוח תחום ההגירה בישראל - ליישם סטנדרטים בינלאומיים בטיפול בנושאי הגירה שונים, פיתוח מחקר רלוונטי לתחומי ההגירה השונים ושמירה על זכויות מהגרי עבודה ומבקשי מקלט בישראל. כיום העמותה היא הארגון האחראי ליישום ההסכמים הבילטרלים של ישראל עם מדינות אחרות בהבאת מהגרי עבודה לישראל ופועלת מטעם רשות האוכלוסין וההגירה בתחום זה. הארגון מפעיל פרויקטים שונים לעבודה עם אוכלוסיית מבקשי המקלט בישראל - בסיוע לצעירים בלתי מלווים ותפעול פרויקטים שונים.",https://he.wikipedia.org/wiki/המרכז_להגירה_בינלאומית_וקליטה_(CIMI),,,13384
מואססת חדאנאת אלנאסרה,ארגון,מואססת חדאנאת אלנאסרה,,580131498,ישראל,,,1990,,,,,,צדקה וסיוע לנזקקים. פעילות לרווחת נשים עובדות.,https://www.guidestar.org.il/organization/580131498,,,13385
נבילה אספניולי,איש,,,,,,,,,,,,,,,,,13386
התנועה למען איכות השלטון בישראל,ארגון,התנועה למען איכות השלטון בישראל,,580178697,ישראל,,,1990,https://www.mqg.org.il/,,,,,"להבטיח שלטון נקי ואיכותי ולשמור על טוהר המידות, שלטון החוק, האינטרס הציבורי והדמוקרטיה במדינת ישראל.",https://www.mqg.org.il/%d7%90%d7%95%d7%93%d7%95%d7%aa/,,,13387
רביב דרוקר,איש,רביב דרוקר,,,,,,,,,,,,עיתונאי,,,,13388
שרה קרניאל,איש,שרה קרניאל,,,ישראל,,,,,,,,,,,,,13389
מרכז לשיתוף פעולה בינלאומי ושלום,ארגון,"מרכז לשיתוף פעולה בינלאומי ושלום (ע""ר)",INTERNATIONAL PEACE AND CO-OPERATION CENTER (IPCC) ,580336022,ישראל,,,,,,,,,"הרעיון שעמד בבסיס הקמת המרכז היה יצירת סדר יום פלסטיני בנושאים הנוגעים לשלום, לפיתוח ולניידות כלכלית וחברתית. התמקדות בנושא של ירושלים. במרכז , צוות פלסטיני התכנס והפיק מספר מחקרים בנושא ירושלים. לידע הזה יש חשיבות רבה. בלי ידע אי אפשר להציג עובדות בנוגע לסכסוך על גבי המפה. עלינו להעביר את המסר שלנו באופן יעיל.",https://www.justvision.org/he/portrait/1930/interview,,,13390
רמי נסראללה,איש,,,,ישראל,"דוקטור רמי נסראללה
",,,,,,דוקטור,,,,,,13391
המשרד לשיוויון חברתי,גוף ממשלתי,,,,ישראל,,,,,,,,,"קידום אוכלוסיות האזרחים הוותיקים, הצעירים, הנשים והמיעוטים וכן אחראי על המיזם הלאומי ""ישראל דיגיטלית"".",https://www.gov.il/he/departments/ministry_for_social_equality,,,13392
Human Rights Watch,ארגון,,Human Rights Watch,,"ארה""ב",,,1978,https://www.hrw.org/,,,,,"ארגון בינלאומי עצמאי למחקר, לקידום והגנה על זכויות האדם בעולם. הארגון, שהוקם בשנת 1978, נחשב כיום לאחד הגדולים והחשובים שבארגוני זכויות האדם הבינלאומיים, והארגון הגדול ביותר לזכויות אדם שבסיסו בארצות הברית. הארגון שם לו למטרה לחשוף הפרות זכויות אדם ברחבי העולם, ובדרך זו להעניק כוח למדוכאים ולחייב את המדכאים לתת דין וחשבון על מעשיהם.",https://he.wikipedia.org/wiki/Human_Rights_Watch,,,13393
דורית בייניש,איש,,,,ישראל,,,,,,,,,פרקליטת המדינה לשעבר ונשיאת בית המשפט העליון בשנים 2006 - 2012,https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%A8%D7%99%D7%AA_%D7%91%D7%99%D7%A0%D7%99%D7%A9,,,13394
ח'אלד אבו עסבה,איש,,,,ישראל,"דוקטור ח'אלד אבו עסבה
",,,,,,דוקטור,,,,,,13395
יאסר עואד,איש,,,,ישראל,,,,,,,,,,,,,13396
בדיקה ישות חדשה,מיזם,,,,,,,,,,,,,אין רקע,https://docs.google.com/forms/d/e/1FAIpQLSdf7gjTG3G80Cz9XILDIWyeaw1FiQbJP9vl0VlTHuFvXzxtHw/formResponse,זה לא אמיתי,,13397
אסתר מנדל,איש,,,,ישראל,,,,,,,,,,,,,13398
דניאל מילוא,איש,,,,ישראל,,,,,,,,,,,,,13399
בית הספר הלאומי הצרפתי A.N.E,מדינה זרה - גוף ממשלתי,,École nationale d'administration,,צרפת,,,1945,,,,,,"
נוסד בשנת 1945 על ידי נשיא צרפת שארל דה-גול. בשנת École nationale d'administration - בית הספר הלאומי הצרפתי 2002 התמזג בו המכון הבינלאומי למינהל הממשל.
בית הספר מקיים השתלמויות קצרות במסגרת תכניות בינלאומיות המיועדות לעובדי מדינה ממדינות שונות, ובכללן ישראל",https://www.ena.fr/eng/Formation-continue/International-cycles/cisap,,,13400
תכנית A.N.E להכשרת הסגל הבכיר בשירות המדינה בבית הספר הלאומי הצרפתי,מיזם,,,,צרפת,,,2012,,,,,הסגל הבכיר בשירות המדינה,,,,,13401
עירית תמיר,איש,,,,ישראל,"עו""ד עירית תמיר
",,,,,,"עו""ד",,,,,,13402
דני גל,איש,,,,ישראל,,,,,,,,,,,,,13403
אביגיל שפרבר,איש,,,,ישראל,,,,,,,,,,,,,13404
אסנת טרבלסי,איש,,,,ישראל,,,,,,,,,,,,,13405
Jay Henry Moses,איש,,,,"ארה""ב",,,,,,,,,רבאיי רפורמי,,,,13406
חדווה רדובניץ',איש,,,,,,,,,,,,,,,,,13407
הויה - טקס חתונה ישראלי,מיזם,הויה-טקס חתונה ישראלי,,,ישראל,#VALUE!,,2006,http://www.havaya.info/,יהדות חילונית,http://www.havaya.info/,,,"הארגון ללא כוונת רווח הגדול בישראל העורך מאות טקסי חתונה ונישואין, בר מצווה ובת מצווה, לידה וברית, אבלות וזכרון מדי שנה.
מטרת הֳוָיָה להוביל ולקדם פיתוח ועיצוב של טקסי חיים ישראלים, רלוונטיים ונגישים לציבור החילוני בארץ ובחו""ל, ובכך לתת מענה לציבור המנוע מלהינשא במדינת ישראל על פי החוק הקיים (עולים ובני עולים מארצות חבר העמים, ועוד), או למי שאינו חפץ בשל השקפתו להיזקק לשרותי הדת הרשמיים. לכל אלה אנו מציעים אפשרות לקיום טקסי חיים (בנוסח ההלכה או שלא בנוסח ההלכה) המתאימים למציאות היהודית-ישראלית המתהווה כאן ועכשיו.
בהֳוָיָה עורכים, לומדים ויוצרים טקסי-חיים, הנטועים במסורת היהודית ובמקורותיה, ובו בזמן מבטאים התחדשות יהודית, חילונית וציונית בת זמננו.
בהֳוָיָה רואים בטקסי החיים צומת דרכים משמעותי בחיי האדם, אשר מזמין אותו לבחון מחדש את זהותו וזיקתו למסורת, לטקס ולמנהג. ברוח זו אנו מציעים לכם - זוגות ומשפחות - לבחון בהדרכתנו את משמעותו של הטקס, על אלו צרכים הוא עונה ומה מידת הרלוונטיות שלו לחייכם.",http://bfree.org.il/%D7%94%D7%95%D7%99%D7%94-%D7%98%D7%A7%D7%A1-%D7%97%D7%AA%D7%95%D7%A0%D7%94-%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99,,,13408
ה.ל.ל - האגודה ליוצאים לשאלה,ארגון,האגודה ליוצאים לשאלה - ה.ל.ל,,580195766,ישראל,,,1991,https://www.hillel.org.il/,,,,חרדים,לסייע ליחידים ומשפחות אשר פונים לעמותה בשל רצונם לצאת מאורח החיים החרדי ולהיקלט בחברה החופשית. להעניק לפונים ייעוץ וסיוע משפטי וכלכלי ולעזור להם להשתלב בחברה.,https://www.guidestar.org.il/organization/580195766,,,13409
דניאל עמית,איש,,,,ישראל,"פרופסור דניאל עמית
",,,,,,פרופסור,,,,,,13410
הברית הישראלית - The Israeli Alliance,ארגון,הברית הישראלית, The Israeli Alliance,,ישראל,,,2017,,,,,,"קידום מאבקים חברתיים. ממומנת ע""י קרן TIDES. מממנת את מני נפתלי ויאיר נהוראי",,,,13411
דוד (דייב) קרצ'מר,איש,דוד קרצ'מר,,,,,,,,,,,,,,,,13412
רות רזניק,איש,,,,,,,,,,,,,"ממייסדי שתי""ל, שדולת הנשים, האגודה לזכויות האזרח ועוד.",http://cms.education.gov.il/EducationCMS/Units/PrasIsrael/PrashTashsath/RuthReznik/CvRuthReznik.htm,,,13413
איל רם,איש,,,,,"סמנכ”ל ומנהל מינהל עובדי הוראה במשרד החינוך. אחראי על הכשרה, קליטה, הערכה ופיתוח מקצועי של מורים לאורך הקריירה",,,,,,,,,,,,13414
"הפדרציה של גופי המו""פ החינוכי",מיזם,"ה""פדרציה של גופי המו""פ החינוכי""",,,,,,2017,https://agafmopedu.wixsite.com/federation/home,,,,,,,,,13415
אלה אלקלעי,איש,,,,,"אלה אלקלעי, המכהנת כיום כיו""ר IBI קרנות נאמנות וכסמנכ""ל פיתוח עסקי בבית ההשקעות אי.בי.אי.. היא בעלת ותק של למעלה מ- 20 שנים בשוק ההון ועובדת בבית ההשקעות אי.בי.אי. משנת 1991 אלה היא בוגרת תואר ראשון בביולוגיה מאוניברסיטת תל-אביב, תואר שני מהמחלקה לפיזיולוגיה ופרמקולוגיה של הפקולטה לרפואה באוניברסיטת תל-אביב ותואר שני במנהל עסקים מאוניברסיטת תל-אביב. בנוסף השתתפה אלה במספר קורסים בבי""ס ללימודי חוץ של הארוורד בתחום הפסיכולוגיה של קבלת החלטות פיננסיות. אלה מכהנת כיום, כיו""ר ועדת מענקים של הקרן החדשה לישראל, יו""ר שדולת הנשים בישראל וחברת הנהלה של עמותת מעלה.",,,,,,,,"בתם של דוד ופיליס וייסברג. יו""ר שדולת הנשים וחברת הנהלה ויו""ר ועדת המענקים של הקרן החדשה",https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%94_%D7%90%D7%9C%D7%A7%D7%9C%D7%A2%D7%99,,,13416
"מל""ג - המועצה להשכלה גבוהה",גוף ממשלתי,"המועצה להשכלה גבוהה מל""ג - ות""ת",,500101597,ישראל,,,,https://che.org.il/,,,,,,,,,13417
מנהל המחקר החקלאי,גוף ממשלתי,,,,ישראל,,,,https://www.agri.gov.il/he/home/default.aspx,,,,,"תפקידיו העיקריים הם לסייע לחקלאי ישראל בפתרון בעיות שונות, לבצע מחקר ופיתוח בנושאים חדשים ומבטיחים בחקלאות ובמדעי המזון, ולתכנן, לארגן וליישם מחקר חקלאי בישראל.
רבים מהחידושים שפותחו במינהל המחקר החקלאי מיושמים כבר ברמה המסחרית בארץ ובעולם. היישום מתבטא במיוחד בתחומים הבאים: גידולים מוגנים (חממות), השקייה, חקלאות באיזורים צחיחים, טיפול בתוצרת לאחר הקטיף, הגנת הצומח, מיכון, וזנים חדשים של פירות, ירקות וצמחי נוי.",https://www.agri.gov.il/he//pages/1023.aspx,,,13418
מחזקים - למען השלום והדמוקרטיה,ארגון,"מחזקים - למען השלום והדמוקרטיה (ע""ר)",,580648327,ישראל,,,2017,,,,,,"מחזקים - למען השלום והדמוקרטיה היא עמותה ישראלית שפועלת באמצעות אקטיביזם דיגיטלי ברשתות החברתיות לקידום ערכי השמאל.
העמותה משקיעה נתח נכבד מתקציבה לקידום ממומן של תכנים ברשתות המדיה החברתית על מנת להגיע לקהל היעד שלה בפייסבוק, אינסטגרם, טוויטר ו-טיקטוק",https://he.wikipedia.org/wiki/%D7%9E%D7%97%D7%96%D7%A7%D7%99%D7%9D,,,13419
,,,,,,,,,,,,,,,,,,13420
,,,,,,,,,,,,,,,,,,13421
,,,,,,,,,,,,,,,,,,13422
,,,,,,,,,,,,,,,,,,13423
,,,,,,,,,,,,,,,,,,13424
,,,,,,,,,,,,,,,,,,13425
,,,,,,,,,,,,,,,,,,13426
,,,,,,,,,,,,,,,,,,13427
,,,,,,,,,,,,,,,,,,13428
,,,,,,,,,,,,,,,,,,13429
,,,,,,,,,,,,,,,,,,13430
,,,,,,,,,,,,,,,,,,13431
,,,,,,,,,,,,,,,,,,13432
,,,,,,,,,,,,,,,,,,13433
,,,,,,,,,,,,,,,,,,13434
,,,,,,,,,,,,,,,,,,13435
,,,,,,,,,,,,,,,,,,13436
,,,,,,,,,,,,,,,,,,13437
,,,,,,,,,,,,,,,,,,13438
,,,,,,,,,,,,,,,,,,13439
,,,,,,,,,,,,,,,,,,13440
,,,,,,,,,,,,,,,,,,13441
,,,,,,,,,,,,,,,,,,13442
,,,,,,,,,,,,,,,,,,13443
,,,,,,,,,,,,,,,,,,13444
,,,,,,,,,,,,,,,,,,13445
,,,,,,,,,,,,,,,,,,13446
,,,,,,,,,,,,,,,,,,13447
,,,,,,,,,,,,,,,,,,13448
,,,,,,,,,,,,,,,,,,13449
,,,,,,,,,,,,,,,,,,13450
,,,,,,,,,,,,,,,,,,13451
,,,,,,,,,,,,,,,,,,13452
,,,,,,,,,,,,,,,,,,13453
,,,,,,,,,,,,,,,,,,13454
,,,,,,,,,,,,,,,,,,13455
,,,,,,,,,,,,,,,,,,13456
,,,,,,,,,,,,,,,,,,13457
,,,,,,,,,,,,,,,,,,13458
,,,,,,,,,,,,,,,,,,13459
,,,,,,,,,,,,,,,,,,13460
,,,,,,,,,,,,,,,,,,13461
,,,,,,,,,,,,,,,,,,13462
,,,,,,,,,,,,,,,,,,13463
,,,,,,,,,,,,,,,,,,13464
,,,,,,,,,,,,,,,,,,13465
,,,,,,,,,,,,,,,,,,13466
,,,,,,,,,,,,,,,,,,13467
,,,,,,,,,,,,,,,,,,13468
,,,,,,,,,,,,,,,,,,13469
,,,,,,,,,,,,,,,,,,13470
,,,,,,,,,,,,,,,,,,13471
,,,,,,,,,,,,,,,,,,13472
,,,,,,,,,,,,,,,,,,13473
,,,,,,,,,,,,,,,,,,13474
,,,,,,,,,,,,,,,,,,13475
,,,,,,,,,,,,,,,,,,13476
,,,,,,,,,,,,,,,,,,13477
,,,,,,,,,,,,,,,,,,13478
,,,,,,,,,,,,,,,,,,13479
,,,,,,,,,,,,,,,,,,13480
,,,,,,,,,,,,,,,,,,13481
,,,,,,,,,,,,,,,,,,13482
,,,,,,,,,,,,,,,,,,13483
,,,,,,,,,,,,,,,,,,13484
,,,,,,,,,,,,,,,,,,13485
,,,,,,,,,,,,,,,,,,13486
,,,,,,,,,,,,,,,,,,13487
,,,,,,,,,,,,,,,,,,13488
,,,,,,,,,,,,,,,,,,13489
,,,,,,,,,,,,,,,,,,13490
,,,,,,,,,,,,,,,,,,13491
,,,,,,,,,,,,,,,,,,13492
,,,,,,,,,,,,,,,,,,13493
,,,,,,,,,,,,,,,,,,13494
,,,,,,,,,,,,,,,,,,13495
,,,,,,,,,,,,,,,,,,13496
,,,,,,,,,,,,,,,,,,13497
,,,,,,,,,,,,,,,,,,13498
,,,,,,,,,,,,,,,,,,13499
,,,,,,,,,,,,,,,,,,13500
,,,,,,,,,,,,,,,,,,13501
,,,,,,,,,,,,,,,,,,13502
,,,,,,,,,,,,,,,,,,13503
,,,,,,,,,,,,,,,,,,13504
,,,,,,,,,,,,,,,,,,13505
,,,,,,,,,,,,,,,,,,13506
,,,,,,,,,,,,,,,,,,13507
,,,,,,,,,,,,,,,,,,13508
,,,,,,,,,,,,,,,,,,13509
,,,,,,,,,,,,,,,,,,13510
,,,,,,,,,,,,,,,,,,13511
,,,,,,,,,,,,,,,,,,13512
,,,,,,,,,,,,,,,,,,13513
,,,,,,,,,,,,,,,,,,13514
,,,,,,,,,,,,,,,,,,13515
,,,,,,,,,,,,,,,,,,13516
,,,,,,,,,,,,,,,,,,13517
,,,,,,,,,,,,,,,,,,13518
,,,,,,,,,,,,,,,,,,13519
,,,,,,,,,,,,,,,,,,13520
,,,,,,,,,,,,,,,,,,13521
,,,,,,,,,,,,,,,,,,13522
,,,,,,,,,,,,,,,,,,13523
,,,,,,,,,,,,,,,,,,13524
,,,,,,,,,,,,,,,,,,13525
,,,,,,,,,,,,,,,,,,13526
,,,,,,,,,,,,,,,,,,13527
,,,,,,,,,,,,,,,,,,13528
,,,,,,,,,,,,,,,,,,13529
,,,,,,,,,,,,,,,,,,13530
,,,,,,,,,,,,,,,,,,13531
,,,,,,,,,,,,,,,,,,13532
,,,,,,,,,,,,,,,,,,13533
,,,,,,,,,,,,,,,,,,13534
,,,,,,,,,,,,,,,,,,13535
,,,,,,,,,,,,,,,,,,13536
,,,,,,,,,,,,,,,,,,13537
,,,,,,,,,,,,,,,,,,13538
,,,,,,,,,,,,,,,,,,13539
,,,,,,,,,,,,,,,,,,13540
,,,,,,,,,,,,,,,,,,13541
,,,,,,,,,,,,,,,,,,13542
,,,,,,,,,,,,,,,,,,13543
,,,,,,,,,,,,,,,,,,13544
,,,,,,,,,,,,,,,,,,13545
,,,,,,,,,,,,,,,,,,13546
,,,,,,,,,,,,,,,,,,13547
,,,,,,,,,,,,,,,,,,13548
,,,,,,,,,,,,,,,,,,13549
,,,,,,,,,,,,,,,,,,13550
,,,,,,,,,,,,,,,,,,13551
,,,,,,,,,,,,,,,,,,13552
,,,,,,,,,,,,,,,,,,13553
,,,,,,,,,,,,,,,,,,13554
,,,,,,,,,,,,,,,,,,13555
,,,,,,,,,,,,,,,,,,13556
,,,,,,,,,,,,,,,,,,13557
,,,,,,,,,,,,,,,,,,13558
,,,,,,,,,,,,,,,,,,13559
,,,,,,,,,,,,,,,,,,13560
,,,,,,,,,,,,,,,,,,13561
,,,,,,,,,,,,,,,,,,13562
,,,,,,,,,,,,,,,,,,13563
,,,,,,,,,,,,,,,,,,13564
,,,,,,,,,,,,,,,,,,13565
,,,,,,,,,,,,,,,,,,13566
,,,,,,,,,,,,,,,,,,13567
,,,,,,,,,,,,,,,,,,13568
,,,,,,,,,,,,,,,,,,13569
,,,,,,,,,,,,,,,,,,13570
,,,,,,,,,,,,,,,,,,13571
,,,,,,,,,,,,,,,,,,13572
,,,,,,,,,,,,,,,,,,13573
,,,,,,,,,,,,,,,,,,13574
,,,,,,,,,,,,,,,,,,13575
,,,,,,,,,,,,,,,,,,13576
,,,,,,,,,,,,,,,,,,13577
,,,,,,,,,,,,,,,,,,13578
,,,,,,,,,,,,,,,,,,13579
,,,,,,,,,,,,,,,,,,13580
,,,,,,,,,,,,,,,,,,13581
,,,,,,,,,,,,,,,,,,13582
,,,,,,,,,,,,,,,,,,13583
,,,,,,,,,,,,,,,,,,13584
,,,,,,,,,,,,,,,,,,13585
,,,,,,,,,,,,,,,,,,13586
,,,,,,,,,,,,,,,,,,13587
,,,,,,,,,,,,,,,,,,13588
,,,,,,,,,,,,,,,,,,13589
,,,,,,,,,,,,,,,,,,13590
,,,,,,,,,,,,,,,,,,13591
,,,,,,,,,,,,,,,,,,13592
,,,,,,,,,,,,,,,,,,13593
,,,,,,,,,,,,,,,,,,13594
,,,,,,,,,,,,,,,,,,13595
,,,,,,,,,,,,,,,,,,13596
,,,,,,,,,,,,,,,,,,13597
,,,,,,,,,,,,,,,,,,13598
,,,,,,,,,,,,,,,,,,13599
,,,,,,,,,,,,,,,,,,13600
,,,,,,,,,,,,,,,,,,13601
,,,,,,,,,,,,,,,,,,13602
,,,,,,,,,,,,,,,,,,13603
,,,,,,,,,,,,,,,,,,13604
,,,,,,,,,,,,,,,,,,13605
,,,,,,,,,,,,,,,,,,13606
,,,,,,,,,,,,,,,,,,13607
,,,,,,,,,,,,,,,,,,13608
,,,,,,,,,,,,,,,,,,13609
,,,,,,,,,,,,,,,,,,13610
,,,,,,,,,,,,,,,,,,13611
,,,,,,,,,,,,,,,,,,13612
,,,,,,,,,,,,,,,,,,13613
,,,,,,,,,,,,,,,,,,13614
,,,,,,,,,,,,,,,,,,13615
,,,,,,,,,,,,,,,,,,13616
,,,,,,,,,,,,,,,,,,13617
,,,,,,,,,,,,,,,,,,13618
,,,,,,,,,,,,,,,,,,13619
,,,,,,,,,,,,,,,,,,13620
,,,,,,,,,,,,,,,,,,13621
,,,,,,,,,,,,,,,,,,13622
,,,,,,,,,,,,,,,,,,13623
,,,,,,,,,,,,,,,,,,13624
,,,,,,,,,,,,,,,,,,13625
,,,,,,,,,,,,,,,,,,13626
,,,,,,,,,,,,,,,,,,13627
,,,,,,,,,,,,,,,,,,13628
,,,,,,,,,,,,,,,,,,13629
,,,,,,,,,,,,,,,,,,13630
,,,,,,,,,,,,,,,,,,13631
,,,,,,,,,,,,,,,,,,13632
,,,,,,,,,,,,,,,,,,13633
,,,,,,,,,,,,,,,,,,13634
,,,,,,,,,,,,,,,,,,13635
,,,,,,,,,,,,,,,,,,13636
,,,,,,,,,,,,,,,,,,13637
